branch,N,epsilon,sampleIndex,d,lambda,lambdaImaginary,cumulativeAction,fixedContourCount,phaseAnchorAbs,eigenResidualRelative,finiteCompressionOnly
viscous,40,0.001,15,0.00052083333333333333,0.16877061909556254,-5.7096734129410087e-17,8.7946437921853526e-05,1,0.27369181295904033,2.9140866253194949e-16,true
viscous,40,0.001,16,0.00055555555555555556,0.16875908736933237,-8.7718576592361906e-17,9.3806328655321819e-05,1,0.27369998842480081,2.6809007557101689e-16,true
viscous,40,0.001,17,0.00059027777777777778,0.16874755694573199,-1.2545472126731753e-16,9.9665819004245e-05,1,0.27370816471701204,2.0253211439603692e-16,true
viscous,40,0.001,18,0.00062500000000000001,0.16873602782457695,5.9261507497095242e-17,0.00010552490901385003,1,0.27371634183564447,2.9086350443423243e-16,true
viscous,40,0.001,19,0.00065972222222222224,0.16872450000567918,-1.1157764083216635e-17,0.00011138359872935748,1,0.27372451978067924,2.3588787627403596e-16,true
viscous,40,0.001,20,0.00069444444444444447,0.16871297348884745,-2.2926584807070639e-16,0.00011724188819598129,1,0.27373269855208432,2.4346345926918046e-16,true
viscous,40,0.001,21,0.0007291666666666667,0.16870144827389438,-8.3987196605295035e-17,0.0001230997774589288,1,0.27374087814983716,3.702816027834132e-16,true
viscous,40,0.001,22,0.00076388888888888893,0.1686899243606336,-1.9064417073025615e-16,0.00012895726656340093,1,0.27374905857391041,2.6264916885973419e-16,true
viscous,40,0.001,23,0.00079861111111111116,0.16867840174887372,-1.5009821585753636e-17,0.00013481435555459201,1,0.27375723982428202,2.7149850267798319e-16,true
viscous,40,0.001,24,0.00083333333333333328,0.16866688043843248,2.957013947214968e-16,0.00014067104447768982,1,0.27376542190092179,4.4112852550297929e-16,true
